,Legislatura: I - neg,Legislatura: I - pos,Legislatura: II - neg,Legislatura: II - pos,Legislatura: III - neg,Legislatura: III - pos,Legislatura: IV - neg,Legislatura: IV - pos,Legislatura: V - neg,Legislatura: V - pos,Legislatura: VI - neg,Legislatura: VI - pos,Legislatura: VII - neg,Legislatura: VII - pos,Legislatura: VIII - neg,Legislatura: VIII - pos,Legislatura: IX - neg,Legislatura: IX - pos,Legislatura: X - neg,Legislatura: X - pos,Legislatura: XI - neg,Legislatura: XI - pos,Legislatura: XII - neg,Legislatura: XII - pos,Legislatura: XIII - neg,Legislatura: XIII - pos
0,nombr centrist,transaccional centrist,honor dirig,brav lagun,solicit somet,dictam comision,particul present,decision adopt,motiv popul,vay termin,vot emit,indic acept,numer formul,pregunt cos,doy formul,cos habl,doy formul,ir acab,vot emit,numer izquierd,cort general,electoral diput,vot emit,dig cas,prohib indult,electoral despues
1,dud ningun,cre trat,pod explic,aquell epoc,rog president,creacion univers,popul solicit,autonom deb,reclam derech,sistem sanitari,rueg vay,falt argument,nombr popul,situacion indefension,doy reproduc,ciudadan derech,continu interpel,defend enmiend,nombr popul,presupuest proxim,escrutini dij,electoral dig,creacion emple,trabaj transaccional,ademas pod,electoral desarroll
2,correspond ahor,diput defend,inclus cas,opon enmiend,pid separ,larg ultim,papel moj,sanid consum,termin inmediat,aprob dictam,nombr federal,doy formul,vot emit,rat esper,popul apoy,dese ejerc,vicepresident hac,alli gobiern,reform estructural,sirv interes,gan eleccion,electoral dij,jos ignaci,oblanc mixt,capac pon,electoral dificil
3,interpel formul,tem parec,razon justific,vot emit,cuand piens,part cre,somet resolu,relacion tem,aceit oliv,aprob text,expres acept,sab dond,quier agradec,tan amabl,eleccion secretari,construccion europe,ministr dej,educ superior,plen cam,razon principal,puest trabaj,estatut autonom,ministr adel,ministr nuev,dich cuestion,electoral gobern
4,sen organ,ministeri trabaj,des separ,enmiend minor,cos acept,esfuerz consegu,pid separ,vot emit,dam defend,tiemp pod,rueg guard,final mixt,cultur deport,antecesor carg,pid cuestion,part ahi,exact contrari,pension minim,diput ministr,recort educ,nombr for,present inici,congel pension,disposicion judicial,mont lio,adopt med
5,contest nombr,respuest recib,pid cuestion,termin tiemp,gust muchisim,part administr,utiliz fijacion,deb dec,brevisim intervencion,ningun maner,uni valencian,proced proposicion,polit general,engañ engañ,escrutini termin,ari cañet,famili miembr,burbuj inmobiliari,cultur deport,viend com,dignid cam,comunitat valencian,aliment medi,pued concentr,campañ electoral,popul ciudadan
6,cre recog,sub tribun,alegr muchisim,consiguient aprob,apoy mocion,mixt agrup,opinion merec,fij paus,cam problem,vot conjunt,present defens,manifest acept,formul vicepresident,verd cam,cas montill,defens proposicion,culp popul,suspend mañan,dich ministr,balanc hac,vay tem,polit econom,quier romp,pid escuch,clar quier,administr public
7,general numer,pretend supresion,mal dich,cualqui tip,material transport,usos costumbr,autov leiz,vall lersundi,volunt colabor,rueg guard,numer formul,lasagabast defens,regim sadam,inmens ciudadan,vicepresident pregunt,dejem dec,inversion previst,juec fiscal,declar tributari,mil emple,consecuent proclam,segur ferroviari,industri competit,cos cas,ningun dud,rentabil razon
8,rueg ciñ,separ letr,rog president,quier indic,ped separ,des fij,cuestion rumor,garc fonsec,ocup carg,extraordinari import,efect solicit,iba dirig,rueg conclu,cart municipal,vicepresident cumpl,polit agu,ocult verd,van mejor,pas interpel,crisis polit,diput pod,acat constitu,dud algun,cumpl estatut,present enmiend,transicion ecolog
9,rueg termin,galleg bezar,termin segu,produc cambi,popul quier,quis record,plaz establec,vari grup,respuest clar,puest disposicion,formul vicepresident,ausenci vicepresident,derech libert,apoy guerr,replic tiemp,respons servici,miembr españ,econom internacional,ir acab,valor hac,pon manifiest,papel panam,cort general,maner just,dolor sufrimient,fuerz polit
10,ilustr compañer,brevement opon,popul apoy,paus vot,cam manifest,proteccion desemple,existent españ,unid inici,mism lleg,des fij,present nombr,diput nuev,quier destac,ministr previst,exclus acept,guerr irak,bas afirm,deb acab,tod sincer,cost produccion,servici cam,amnist fiscal,vicepresident ministr,hurt zurer,secretari segur,pesc aliment
11,numer minor,somet text,industri relacion,tiemp minut,har uso,rechaz enmiend,popul apoy,miembr consej,dud ningun,formul med,nombr vasc,interven debat,interpel urgent,men propagand,actos violenci,deb objet,termin ministr,puest march,ministr diput,doy reproduc,mixt queved,reform laboral,minut comenz,ciudadan ciudadan,nuev cultur,nacion unid
12,ciert med,vot separ,pas seman,represent popul,esper respuest,polit cre,hech absolut,quier indic,enmiend ningun,part intervencion,asi plen,transport escol,suspend reanud,pas ningun,pag preci,pesc aliment,apoy ministr,consolid fiscal,impuest patrimoni,exclus acept,pas intervencion,lleg acuerd,manten pod,diput ministr,pas mal,dud algun
13,pregunt cam,ministeri haciend,general proyect,part ahi,espaci aere,garc margall,da sensacion,portavoz popul,transaccional dic,vay conclu,popul consider,objet pid,alianz atlant,esper respuest,rigur fals,asi pues,tagu seop,portavoz popul,energ turism,fp basic,administr public,diput permanent,estrategi nacional,acog refugi,españ españ,asum respons
14,respect problem,efect desarroll,error transcripcion,ciert dig,trat habl,dud algun,absolut imprescind,figared pid,sid alud,acuerd grup,uri nombr,ministr da,dud ningun,señal acept,gast divers,celebr extraordinari,polit id,consider reform,period ordinari,consej consult,establec articul,dar pas,mañan hor,diput llam,puert segur,empres afect
15,vot emit,formacion polit,cuestion enmiend,garc agudin,brevement intervencion,program desarroll,da casual,dej lad,conven conmig,formul excelentisim,proposicion enmiend,verd cre,rueg vay,oir orador,padr profesor,diput doñ,razon objet,unid inici,dat posit,intencion relacion,papelet urna,vot termin,educ hij,baj poquit,administr unic,asil refugi
16,estrict necesari,reunion junt,dirig asunt,vay termin,pest equin,diput izquierd,aclar cam,polit agricol,urgent modif,formul excmo,distint seccion,señal acept,guard adel,invoc aplic,formul figur,turism comerci,sac crisis,garc tizon,escuch intervencion,unid izquierd,respet derech,vay conclu,defens nacional,part popul,debat reform,polit migratori
17,cort constituyent,cualqui cas,ped separ,numer vasc,banc derech,brav lagun,confirm tod,garc margall,permit pregunt,rueg conclu,formul opinion,distint enmend,nombr federal,ir conclu,ministr enmiend,tiemp conclu,termin ahor,dat criminal,diput vicepresident,ciudadan ciudadan,piens pod,consider proposicion,estatut trabaj,comerci turism,sistem educ,med urgent
18,proteccion civil,consecuent aprob,estrateg defens,portavoz popul,complet intervencion,rueg conclu,mil agricultor,trat dar,text constitucional,vot emit,algun portavoz,previst tard,text refund,rechaz pas,vicepresident sab,portavoz popul,popul consider,turism comerci,diput termin,deb conclu,gast gast,grup parlamentari,vicepresident adel,europe cooper,acab pid,grup parlamentari
19,aprob articul,pas exam,unas declar,dic aunqu,ayud entend,vot emit,punt particul,rueg conclu,dar cam,portavoz popul,tri sagni,fij debat,defens inici,cuent secret,deten ilegal,vot emit,vicesecretari general,vot emit,financi part,doy formul,perr hortelan,diput diput,dirig asunt,nombr mixt,hab demostr,unid pod
