,Semana,neg,pos
0,1979-12,confeder unido,derecho ciudadano
1,1979-12,presidencia relacion,mile persona
2,1979-12,pasamo ahora,presentada representant
3,1979-12,quieren romper,toda cuestion
4,1979-12,mosso desquadra,cort igualdad
5,1979-12,presentar nombr,migracion seguridad
6,1979-12,procedimiento urgencia,igualdad funcion
7,1979-12,impuesto transmision,apertura procedimiento
8,1979-12,campaña elector,sido nombrado
9,1979-12,ninguna medida,medida adoptada
10,1979-12,cort general,republicano acuerd
11,1979-12,incremento factura,arma arrojadiza
12,1979-12,mile empleo,debe terminar
13,1979-12,rechazado particular,justicia funcion
14,1979-12,lealtad institucion,nombr funcion
15,1979-12,convocar eleccion,ir terminando
16,1979-12,texto alternativo,hacienda funcion
17,1979-12,ciudadano girauta,candidato presidencia
18,1979-12,ill balear,interior funcion
19,1979-12,sector taxi,aizpurua arzallu
20,1979-13,confeder unido,derecho ciudadano
21,1979-13,presidencia relacion,mile persona
22,1979-13,pasamo ahora,toda cuestion
23,1979-13,quieren romper,migracion seguridad
24,1979-13,mosso desquadra,igualdad funcion
25,1979-13,procedimiento urgencia,presentada representant
26,1979-13,presentar nombr,apertura procedimiento
27,1979-13,impuesto transmision,sido nombrado
28,1979-13,campaña elector,medida adoptada
29,1979-13,ninguna medida,republicano acuerd
30,1979-13,cort general,arma arrojadiza
31,1979-13,incremento factura,debe terminar
32,1979-13,mile empleo,justicia funcion
33,1979-13,rechazado particular,fielment obligacion
34,1979-13,lealtad institucion,nombr funcion
35,1979-13,convocar eleccion,ir terminando
36,1979-13,ciudadano girauta,hacienda funcion
37,1979-13,ill balear,candidato presidencia
38,1979-13,sector taxi,interior funcion
39,1979-13,sistema educativo,aizpurua arzallu
40,1979-16,confeder unido,asamblea region
41,1979-16,presidencia relacion,derecho ciudadano
42,1979-16,pasamo ahora,mile persona
43,1979-16,quieren romper,toda cuestion
44,1979-16,mosso desquadra,migracion seguridad
45,1979-16,presentar nombr,igualdad funcion
46,1979-16,impuesto transmision,apertura procedimiento
47,1979-16,campaña elector,presentada representant
48,1979-16,procedimiento urgencia,sido nombrado
49,1979-16,ninguna medida,medida adoptada
50,1979-16,cort general,republicano acuerd
51,1979-16,incremento factura,arma arrojadiza
52,1979-16,mile empleo,debe terminar
53,1979-16,rechazado particular,justicia funcion
54,1979-16,lealtad institucion,nombr funcion
55,1979-16,convocar eleccion,ir terminando
56,1979-16,ciudadano girauta,hacienda funcion
57,1979-16,ill balear,candidato presidencia
58,1979-16,sector taxi,interior funcion
59,1979-16,sistema educativo,aizpurua arzallu
60,1979-18,confeder unido,derecho ciudadano
