,negativos,positivos
0,aliment medi,ro expedient
1,calder vicepresident,deport present
2,foment ari,garc fonsec
3,uni valencian,santam vicepresident
4,silv nombr,pertenecient popul
5,saur lasagabast,rosell aguil
6,refer sen,patis vot
7,numer formul,paus quier
8,lasagabast rueg,fij paus
9,inici referent,conjunt correspondient
10,hern vicepresident,conform dictam
11,president paus,relat vot
12,rejon nombr,paus vot
13,cultur deport,pats vot
14,agrup present,rueg bond
15,uran nombr,mixt albistur
16,numer andaluc,mer expedient
17,sevill vicepresident,acuerd dictam
18,conclu form,garc margall
19,coscubiel termin,turism comerci
