,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,66,80,38,47,191,186,153,76,116,161,80,133,128,150,126,179,177,89,149,187,171,76,115,133,144,114,131,134,104,83,127,91,118,164,169,158,132,32,78,74,55
2,24,23,15,12,75,47,40,28,42,50,14,44,41,47,42,65,43,38,42,45,57,42,47,45,63,50,67,52,51,59,77,45,43,67,72,59,47,18,46,52,26
3,20,33,19,10,141,175,151,43,55,76,71,59,52,67,54,90,60,55,62,68,109,38,75,84,94,87,86,74,63,52,68,73,43,71,74,72,61,19,52,56,21
4,639,1122,503,359,5270,5331,4398,2335,3873,5212,2699,4943,5253,5824,4123,5947,4992,2915,4996,5213,5189,3018,5321,6110,7437,3633,5310,5407,5187,3217,5301,5381,4466,6230,6936,6176,5051,1721,4192,4726,1582
5,72,112,55,55,281,328,251,101,161,209,117,186,187,218,188,275,204,141,234,267,311,141,284,242,368,199,245,210,240,161,251,210,188,223,222,184,162,56,149,149,58
6,11,20,16,10,58,40,49,19,30,57,25,42,41,48,32,55,31,24,45,38,48,28,44,43,47,35,28,43,50,31,33,35,25,32,46,44,18,14,31,26,10
7,114,101,46,50,402,430,477,133,221,270,124,223,223,231,186,238,194,117,232,241,230,170,271,321,411,133,207,240,228,147,157,185,133,227,268,237,204,73,183,173,66
8,28,46,21,21,97,81,80,27,54,59,29,38,57,49,39,72,45,39,62,49,60,36,42,48,63,53,57,68,48,32,67,53,56,58,80,52,40,21,32,50,16
9,14,25,19,17,50,64,46,24,30,47,28,48,47,50,35,57,29,30,33,36,45,27,42,47,32,23,36,40,24,14,32,38,26,31,28,27,36,11,25,19,6
10,72,137,71,65,286,276,202,127,191,311,159,282,299,324,282,382,330,238,347,334,395,234,359,362,427,190,210,245,211,115,207,197,188,248,253,166,132,60,154,156,52
11,43,92,37,25,277,221,160,102,148,222,96,137,136,162,140,172,173,111,188,163,180,108,202,212,245,125,141,159,154,127,192,156,144,161,143,119,106,63,113,132,57
12,16,37,19,18,104,79,82,42,39,102,69,83,101,117,71,133,89,81,106,175,152,82,153,104,140,85,100,125,133,75,80,76,61,76,86,87,73,20,77,88,33
13,28,31,22,17,65,91,69,40,51,78,48,76,93,150,72,82,64,55,67,73,79,49,75,66,81,64,65,73,66,46,58,60,51,65,66,51,39,6,50,53,18
14,32,46,13,23,118,126,113,61,76,84,56,67,86,95,75,103,79,54,110,97,131,62,83,100,119,88,81,95,56,69,92,86,52,103,136,114,63,31,62,69,29
15,71,107,56,28,275,243,209,105,192,232,99,171,157,169,156,231,160,143,249,279,237,155,214,183,347,161,219,236,220,147,197,166,138,165,203,167,134,56,166,158,51
16,50,60,43,27,740,503,305,119,133,184,93,145,177,241,145,180,137,142,187,225,221,122,211,207,243,119,195,185,195,130,146,151,121,167,160,178,123,38,98,150,39
17,71,69,49,44,189,183,178,70,111,154,60,118,115,138,105,167,120,97,176,128,192,68,140,106,148,91,131,117,105,74,127,116,101,135,181,109,102,33,94,105,44
18,79,134,68,64,393,366,290,130,234,285,158,220,205,266,217,308,279,154,270,278,328,228,312,292,374,149,223,183,195,150,229,213,163,245,243,191,146,53,127,210,72
19,11,12,3,5,41,31,29,16,15,24,7,19,26,32,25,33,22,6,24,33,27,16,24,31,15,23,31,16,15,20,24,15,21,25,18,23,19,9,14,22,6
20,29,44,21,23,80,114,75,26,55,61,34,55,47,51,45,42,43,32,84,65,119,35,64,50,74,55,79,66,81,48,67,62,52,71,41,43,40,17,27,46,15
21,153,308,160,111,902,862,701,348,642,688,305,749,759,815,483,793,641,422,737,748,810,481,735,845,991,416,650,609,531,404,664,602,451,710,733,743,521,210,476,508,210
22,5,16,10,5,38,33,32,15,29,26,19,39,30,35,28,27,24,20,24,37,34,17,31,41,30,14,21,27,20,24,15,16,17,16,21,30,15,7,16,18,6
23,112,183,69,113,576,559,483,184,360,464,219,360,309,376,272,474,385,256,430,370,412,256,448,417,533,260,321,323,309,220,305,284,298,414,392,339,270,150,280,263,127
24,19,22,10,9,56,65,61,23,40,53,37,49,45,50,29,86,47,30,47,37,52,23,45,38,69,36,51,60,60,31,54,52,35,34,30,40,29,13,48,50,22
25,9,15,8,11,42,66,32,10,28,41,13,29,19,28,35,27,29,17,34,26,34,11,32,22,40,25,33,33,20,14,22,19,21,24,23,33,11,11,25,18,3
26,26,55,17,20,120,120,110,60,74,97,34,99,59,87,60,69,71,50,83,94,99,67,116,91,139,68,66,85,80,60,77,71,36,58,73,67,43,12,41,50,15
27,8,11,4,2,24,32,17,11,12,17,8,13,22,19,14,24,16,12,16,15,18,8,14,9,21,17,15,17,20,5,14,9,14,13,21,17,15,3,10,17,5
28,21,24,18,15,59,55,35,28,48,44,17,30,45,51,29,47,40,39,58,37,43,24,40,29,51,25,48,43,37,24,43,33,25,47,50,41,30,5,19,37,16
29,124,154,80,70,442,346,331,119,246,294,140,231,236,270,157,281,247,169,288,270,288,176,260,194,286,172,215,221,191,169,203,194,136,193,216,208,144,62,154,187,71
30,107,201,87,75,668,609,479,217,343,448,216,397,440,438,369,797,710,386,764,771,859,427,715,519,705,307,451,462,367,300,348,331,224,395,437,384,298,187,652,690,168
