,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,1359,2271,1002,823,6135,5358,5191,2634,3881,4697,1858,4021,3457,4277,3556,5143,3544,3516,5432,6820,7971,4716,7769,7406,9750,4323,6722,6964,5735,4281,6475,6051,4958,6869,7136,6557,5665,1758.0,4677,5930,2046
2,88,29,23,15,952,484,543,50,253,459,268,298,289,683,260,617,1180,114,285,413,154,129,393,218,331,180,202,214,428,95,146,198,94,457,494,617,303,94.0,345,207,43
3,49,25,8,13,43,245,189,90,133,173,48,97,272,246,115,206,133,88,184,217,163,76,190,205,173,82,115,86,160,86,133,58,83,73,128,156,81,51.0,111,69,14
4,62,80,109,139,721,731,368,191,519,610,322,325,144,233,146,242,277,209,498,261,125,80,119,276,455,222,232,304,338,168,258,310,121,128,314,67,26,,68,88,66
5,85,4,10,28,225,350,191,70,136,215,179,309,116,305,190,235,82,110,376,185,172,67,152,131,149,200,153,164,195,139,163,299,198,231,285,304,135,134.0,319,163,66
6,51,130,179,32,567,340,520,114,174,287,151,664,219,381,197,522,355,231,248,239,373,74,164,173,194,81,250,122,270,91,250,136,152,237,162,347,103,80.0,312,198,34
7,146,117,31,28,160,264,35,107,123,156,125,116,121,152,241,201,195,108,206,129,172,50,61,323,247,103,84,81,140,59,65,162,155,183,190,155,209,29.0,118,83,53
8,24,13,6,48,736,764,222,99,239,456,414,294,362,391,391,399,575,124,250,369,288,124,277,180,321,313,240,217,171,86,75,90,141,219,277,288,98,35.0,314,240,59
9,12,36,4,13,111,644,291,139,630,234,155,244,281,255,291,325,138,98,639,193,194,60,166,149,243,90,109,164,187,124,162,178,230,130,229,172,265,76.0,260,91,80
10,28,30,28,14,122,94,127,182,71,190,126,112,293,187,157,239,163,124,199,176,94,57,68,62,82,88,65,95,47,68,112,114,74,145,335,111,96,114.0,96,52,10
11,66,83,23,42,43,107,63,45,187,115,62,362,285,152,51,202,233,89,262,97,78,192,412,473,273,245,181,174,96,116,185,105,214,616,471,191,237,122.0,141,305,265
12,18,19,47,19,474,409,425,261,506,751,726,1159,1699,1301,1006,1035,871,494,530,601,678,341,331,593,898,577,657,680,951,425,633,785,461,695,902,724,529,323.0,401,503,26
13,19,59,74,59,681,859,592,265,285,986,296,626,1017,1413,636,1274,1218,340,429,397,143,81,95,163,182,17,202,114,99,21,113,92,83,143,191,110,111,32.0,38,122,22
14,50,215,27,54,842,430,586,154,357,427,184,289,521,330,214,266,249,185,360,189,224,153,173,335,244,95,166,111,76,86,146,121,226,121,130,143,108,132.0,99,182,79
15,17,209,26,24,248,583,295,238,155,294,160,169,359,292,183,530,268,132,246,113,101,25,144,304,195,201,135,158,168,203,361,321,257,221,177,217,138,31.0,192,119,36
