,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,1761,2963,1450.0,978.0,11132.0,9551.0,7940.0,4433.0,6975.0,9078,4457,8253,8188,8893,6868,9761,8243,5585,9394,9749.0,10553.0,6059.0,10131.0,10354,12701.0,6308.0,9082.0,9184,8781.0,5784.0,8889.0,8569.0,7129.0,10106.0,10743.0,9364.0,7837.0,2740.0,7113.0,7902.0,2733.0
2,8,26,,6.0,,66.0,28.0,,7.0,33,34,20,44,39,52,135,25,26,16,8.0,44.0,8.0,,21,5.0,,8.0,4,,14.0,5.0,37.0,,11.0,43.0,33.0,,,15.0,34.0,
3,5,3,12.0,15.0,17.0,25.0,7.0,10.0,12.0,37,28,18,22,15,53,32,77,64,7,,17.0,,5.0,11,7.0,,,4,,,,8.0,,,7.0,,,,20.0,,
4,118,151,94.0,267.0,600.0,775.0,335.0,25.0,305.0,37,31,103,232,323,63,72,78,10,40,61.0,38.0,38.0,45.0,69,84.0,69.0,88.0,24,33.0,32.0,70.0,131.0,23.0,49.0,86.0,139.0,9.0,128.0,37.0,44.0,21.0
7,6,12,1.0,10.0,21.0,327.0,101.0,9.0,2.0,59,14,83,62,132,77,213,96,10,55,45.0,,7.0,29.0,11,78.0,8.0,34.0,1,23.0,12.0,30.0,,77.0,33.0,69.0,58.0,29.0,5.0,17.0,3.0,5.0
8,15,19,4.0,,67.0,74.0,57.0,58.0,98.0,100,36,92,171,108,72,95,49,25,69,191.0,11.0,,11.0,76,48.0,55.0,40.0,16,8.0,11.0,,53.0,,18.0,,27.0,,9.0,9.0,14.0,12.0
10,85,57,,5.0,23.0,188.0,1059.0,11.0,42.0,208,120,251,88,113,15,315,170,58,225,76.0,208.0,34.0,116.0,319,558.0,277.0,134.0,170,79.0,130.0,163.0,76.0,126.0,122.0,300.0,365.0,172.0,99.0,143.0,254.0,12.0
12,7,30,,,9.0,,,25.0,43.0,78,63,16,63,7,5,25,116,8,25,16.0,,,,7,,,,4,9.0,33.0,,,,24.0,58.0,47.0,41.0,,,4.0,
13,58,28,2.0,7.0,42.0,37.0,33.0,7.0,27.0,92,34,80,354,617,268,411,397,108,80,38.0,4.0,,5.0,17,35.0,,6.0,36,19.0,,,38.0,23.0,,3.0,,,7.0,,,
14,11,29,10.0,14.0,53.0,402.0,13.0,2.0,,107,118,69,34,80,15,38,8,14,121,27.0,,42.0,29.0,14,59.0,9.0,4.0,15,12.0,,20.0,23.0,20.0,14.0,,7.0,,,,,32.0
