,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,XIII
1,31,40,119,106.0,196,72,322.0,39.0,71.0,130.0,,9.0,
2,77,331,706,1142.0,366,181,251.0,95.0,205.0,290.0,,50.0,
3,85,257,238,447.0,707,334,389.0,198.0,249.0,278.0,,146.0,
4,16,17,37,109.0,37,23,36.0,17.0,5.0,21.0,,13.0,
5,6942,30173,22866,28893.0,21890,35271,39142.0,33427.0,29996.0,38030.0,861.0,18297.0,1232.0
7,30,85,112,48.0,103,40,7.0,,21.0,,,31.0,
8,564,1273,147,,24,2,,,,,,,
9,46,416,90,368.0,153,247,132.0,40.0,85.0,46.0,,7.0,
11,45,515,137,45.0,138,115,143.0,86.0,59.0,63.0,,55.0,
12,123,733,451,504.0,302,238,261.0,352.0,405.0,439.0,22.0,473.0,23.0
14,17,50,50,103.0,157,63,,,,,,,
15,137,1277,333,321.0,295,610,698.0,619.0,341.0,898.0,,466.0,
