,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,XIII
1,5351,17604,12032,13366,10881,23728,29637,23859,21520,26347,523.0,12892,994.0
2,155,2005,989,1371,1971,966,1071,1024,533,1871,2.0,670,17.0
3,84,537,395,649,420,652,644,443,360,438,39.0,206,
4,374,1900,1578,796,585,1116,893,1096,857,535,,222,
5,110,810,540,908,362,847,539,670,797,955,20.0,630,32.0
6,385,1525,619,1317,1037,1091,605,723,629,849,47.0,570,7.0
7,312,569,411,536,490,615,681,408,441,737,,261,22.0
8,73,1753,1185,1188,1234,1031,902,941,392,882,,612,36.0
9,65,1120,1084,966,576,1116,618,550,694,796,17.0,456,34.0
10,88,370,554,726,425,593,269,295,368,687,22.0,250,
11,214,233,389,812,473,526,1350,696,620,1515,17.0,750,66.0
12,103,1368,2150,4853,2252,2303,2163,2865,2304,2850,179.0,1060,14.0
13,202,2272,1646,3436,2827,1285,521,432,309,555,,214,
14,333,1959,984,1241,678,958,905,448,561,520,17.0,449,26.0
15,264,1234,751,861,952,580,668,679,1125,753,,371,7.0
