,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,XIII
1,6961,30366,23010,28761,21911,35253.0,39244,33445,30089,38188,861.0,18393,1232.0
2,40,94,69,155,165,94.0,34,12,56,87,,49,
3,24,70,77,71,146,88.0,23,4,8,7,,20,
4,628,1728,382,693,178,149.0,236,214,256,283,22.0,208,
5,2,83,61,106,73,141.0,94,110,60,108,,24,
6,20,144,124,256,150,54.0,33,38,18,7,,89,
7,29,458,70,295,373,110.0,125,66,119,189,,25,5.0
8,38,255,235,416,171,296.0,135,119,64,45,,44,
9,4,33,144,122,142,,7,106,32,41,,9,
10,151,1277,349,480,493,567.0,1027,660,495,959,,508,
11,2,38,96,75,100,30.0,151,41,30,103,,66,
12,37,9,209,91,141,49.0,7,13,33,170,,4,
13,95,119,153,1201,926,230.0,57,61,61,3,,7,
14,54,478,227,198,46,162.0,144,40,63,21,,14,18.0
15,28,107,101,106,148,184.0,149,200,126,79,,153,
