,Año: 1979 - neg,Año: 1979 - pos,Año: 1980 - neg,Año: 1980 - pos,Año: 1981 - neg,Año: 1981 - pos,Año: 1982 - neg,Año: 1982 - pos,Año: 1983 - neg,Año: 1983 - pos,Año: 1984 - neg,Año: 1984 - pos,Año: 1985 - neg,Año: 1985 - pos,Año: 1986 - neg,Año: 1986 - pos,Año: 1987 - neg,Año: 1987 - pos,Año: 1988 - neg,Año: 1988 - pos,Año: 1989 - neg,Año: 1989 - pos,Año: 1990 - neg,Año: 1990 - pos,Año: 1991 - neg,Año: 1991 - pos,Año: 1992 - neg,Año: 1992 - pos,Año: 1993 - neg,Año: 1993 - pos,Año: 1994 - neg,Año: 1994 - pos,Año: 1995 - neg,Año: 1995 - pos,Año: 1996 - neg,Año: 1996 - pos,Año: 1997 - neg,Año: 1997 - pos,Año: 1998 - neg,Año: 1998 - pos,Año: 1999 - neg,Año: 1999 - pos,Año: 2000 - neg,Año: 2000 - pos,Año: 2001 - neg,Año: 2001 - pos,Año: 2002 - neg,Año: 2002 - pos,Año: 2003 - neg,Año: 2003 - pos,Año: 2004 - neg,Año: 2004 - pos,Año: 2005 - neg,Año: 2005 - pos,Año: 2006 - neg,Año: 2006 - pos,Año: 2007 - neg,Año: 2007 - pos,Año: 2008 - neg,Año: 2008 - pos,Año: 2009 - neg,Año: 2009 - pos,Año: 2010 - neg,Año: 2010 - pos,Año: 2011 - neg,Año: 2011 - pos,Año: 2012 - neg,Año: 2012 - pos,Año: 2013 - neg,Año: 2013 - pos,Año: 2014 - neg,Año: 2014 - pos,Año: 2015 - neg,Año: 2015 - pos,Año: 2016 - neg,Año: 2016 - pos,Año: 2017 - neg,Año: 2017 - pos,Año: 2018 - neg,Año: 2018 - pos,Año: 2019 - neg,Año: 2019 - pos
0,excusado asistencia,julio 1979,mutualidad gener,ejerc libertad,presi dent,ejerc recho,presi dent,ejerc soberania,senador rami,ra dicho,portavoc deseen,dar respuesta,pa samo,activo financiero,adelant tiempo,quiero decirl,pido permiso,ejerc toda,const acta,cd senador,35000 peseta,ejercicio 2011,particular senador,senador fer,pasamo portavoc,parlamen tario,vaya finalizando,conv nio,pasamo portavoc,senadora sauquillo,parlamento europeo,guardia ci,impacto ambient,presentar dictamen,cabe duda,rendi miento,mant ner,efecti vament,resto europa,sido posibl,senador granado,empresa privada,tiempo minuto,renta sector,vaya concluyendo,fun damentalment,correspond ahora,autoridad portuaria,gra cia,ponen manifiesto,in dustria,uso racion,impor tant,remitido congreso,na cional,rea lidad,alguna manera,mate ria,corporacion local,nacio ne,mini tra,pasada legislatura,doy formulada,texto inici,000 pyme,ejerc jurisdiccion,vaya finalizando,impuesto enfermedad,vaya finalizando,senador medina,cierra debat,fuert rumor,vaya finalizando,delito fiscal,entidad local,ingreso tributario,reconocimiento labor,camarera piso,nivel nacion,senador marco,juro aplauso,senador altava
1,sido objeto,renta nacion,pre sident,ejerc librement,competen cia,ejercicio 1999,soli citado,ejerc propia,interior bruto,querido amigo,total ment,podido observar,mo proced,echa mano,transport turismo,go bierno,alu sion,senador liber,agua jurisdiccional,autoridad labor,tan important,ejercicio 1989,amba inclus,pro yecto,vaya finalizando,defensa senador,correspondient enmien,tribun constitucion,largo plazo,hace falta,solicitamo separada,quiero agradec,creemo necesario,persona discapacitada,puesto marcha,alto cargo,11 febrero,van tener,quiero agradec,ne cesaria,puesta marcha,embar go,re chazada,trabajador trabajadora,tiempo minuto,concreta ment,vaya concluyendo,hecho absolutament,correspond ahora,prometoel prestado,comunidad madrid,supon paso,puesto trabajo,marcha plan,pre gunta,cuenta propia,sena dor,cabe duda,doy formulada,re pecto,doy formulada,mujer hombr,escaño popu,entesa catalana,permiso conducir,ejerc labor,senador interpelant,necesitan apoyo,senador interpelant,vaya terminando,vaya finalizando,inform consejo,tiempo minuto,llegar acuerdo,obligado cumplimiento,senador mulet,plan integr,senadora julio,104 reglamento,senador yangua,ciento ciento,senadora palencia
2,bosqu hita,presi dent,consejo europa,ejerc mujer,ministerio obra,ejerc presion,pido pala,ejercen funcion,toda comunidad,senador quier,resolv problema,ban co,seguidament procedemo,cualquier caso,supuesto quiero,alguna forma,claro dicho,senador baselga,presi dent,medio prensa,hacemo caso,ejercicio 1990,vaya finalizando,senador gamind,pasamo debatir,nombr senador,pasamo portavoc,to da,senador aspuru,tie ne,largo plazo,senadora vindel,abrimo portavoc,ofici cort,agradec tono,pasamo debatir,re gion,senador esteban,part senador,modo ver,debo decirl,pregun ta,rabajo asunto,cualquier caso,puesto marcha,fin semana,agricultura pesca,pue blo,cata lana,extrema dura,mini tro,vuelta texto,mini tro,vuelvo repetir,cumpli miento,nombr parlamenta,hapuesto manifiesto,entidad local,tene mo,nacio nal,tie nen,represen tant,dicho cosa,pro yecto,permiso continuar,ejerc libertad,parec mal,caso concreto,cierra debat,ponerno acuerdo,senador interpelant,senador ibarrondo,senador interpelant,univers gratuita,reino unido,gran acuerdo,dar leccion,senadora rivero,castilla herrera,senadora villanueva,ofici cort,tercero cuarto
3,mayo 1979,obra art,ciudad zaragoza,ejerc papel,creo recor,principado asturia,senador biesca,ejercen actividad,diciembr 1954,senador blesa,doy defendida,jefe estudio,ministerio obra,quiero decirl,evaristo amat,senador barreiro,pre sident,chueca aguinaga,pre siden,mercado valor,re cuerdo,ejercicio 2015,pedimo separada,coo perativa,portavoz senador,dicta men,perdo ne,senador cia,damo defendida,refleja voluntad,alguna forma,aho ra,pedimo separada,mienda presentada,agricultura pesca,tributo cedido,medio rural,buena voluntad,pre supuesto,in dustria,tran port,senador alierta,vaya concluyendo,senador arriba,sanidad consumo,senador carracao,gra cia,formulo mismo,finalizar portavoc,pro blema,aplauso escaño,fuerza cuerpo,carrera profesion,senador compani,nue tra,protocolo kioto,presupuesto general,medio plazo,pleno 25,mujer inmigrant,proceso bolonia,importan cia,septiembr 2010,modelo productivo,permiso intervendre,ejerc librement,legislatura anterior,630 000,senadora interpelant,activa empleo,cort general,pobreza infantil,cierra debat,programa especial,tan important,sanidad univers,medio minuto,insuficiencia presupuestaria,creo sido,senadora etxano,termino enseguida,senadora angulo
4,impor tant,den tro,ministerio obra,ejerc poder,diciembr 1978,relacion laboral,indicar senador,ejercen competencia,piensa adoptar,pare ce,pueden dar,servicio 01,febrero 1985,senador pi,cam bio,eduardo baselga,cosa dicho,pe seta,pre sident,po pular,part go,ejercicio 2014,portavoz senador,breve plazo,amba inclus,tribun constitucion,tan important,vo to,mini tro,creo podemo,abrimo portavoc,texto somet,us ted,sa ber,podemo olvidar,programa elector,ac tual,senador ainsa,honor presentar,asunto exterior,presentado mienda,senador bellido,impuesto renta,senador moya,defensa senador,respuesta escrita,circun tancia,ministerio fomento,re chazada,mini tro,nuevo plan,ta escaño,medi da,toda comunidad,termino pre,ministerio industria,sino toda,consenso alcanzado,poner marcha,prometoel prestado,subida impuesto,escaño parlamentariosocialista,agraria comunitaria,ninguna duda,permiso intervengo,ejerc mujer,senador anasagasti,iglesia marisc,debo decirl,dieciocho mese,termino diciendo,van tener,ministerio interior,ciento mile,quiero agradec,senador marco,aplausos rumor,senador iñarritu,creo momento,unido podemo,ruth goñi,pasamo portavoc
5,intervien nuevo,mundial 82,000 pyme,ejerc politica,13 mayo,da igual,febrero 1982,ejercen derecho,senador barreiro,texto proyecto,seguidament procedemo,sociali ta,18 julio,sistema seguridad,funda mental,partir momento,doy defendida,objetivo final,satisfac deuda,senador otamendi,sa competencia,ejercicio 1991,defensa particular,cosa distinta,bra obra,senadora senador,senador aceb,incluida particular,amba inclus,senadora vindel,ma yor,david marca,publicidad elector,toda materia,pasada legislatura,senadora costa,calidad vida,problema important,calidad servicio,sena dor,denta senador,pleno noviembr,previ sion,ministerio asunto,re chazada,senador colsa,seguir trabajando,gener dela,finalizado debat,senador mendoza,mu cho,parlamen tario,gasto corrient,continent africano,pleno mayo,mayor consenso,50 ciento,reforma estatuto,presu puesto,pleno abril,empr sa,solo quiero,media verdad,buen trabajo,permiso investigacion,ejerc papel,debat nombr,clase media,emprendimiento empleo,fondo monetario,pasamo portavoc,voluntaria embarazo,cazali entesa,denegacion hace,llegar acuerdo,senadora castel,quiero decirl,10 000,mariano rajoy,dejar constancia,quieren romper,senadora castilla
6,excusa asistencia,mini tro,permiso intervengo,ejerc potestad,mil habitant,ministerio cultura,dicho particular,ejerc toda,mini tro,creemo necesario,48 refier,proyecto proyecto,cabe duda,sido expuesto,mateo otero,octubr 1986,part prensa,junta electoral,sati fecho,senador dorrego,cho referencia,ejercicio 1992,pasamo portavoc,gener presupuestaria,senadora ardanuy,ad ministracion,senador renobal,senador bueso,dicho sido,gran part,vaya concluyendo,cierta medida,febrero 1995,po nencia,anterior legislatura,razo ne,derecho fundamental,alto cargo,rigor seriedad,na cionalista,alcald ciudad,momento oportuno,comuni dade,po ner,agricultura pesca,contestar nombr,vicepresident go,provincia lugo,senador lavilla,ment acuerdo,us ted,central pirineo,ministerio vivienda,cualquier caso,comunidad au,recur so,alguna forma,2005 2008,presupuesto general,igual dad,alto cargo,enel congreso,puesto trabajo,ydesd luego,permiso lactancia,ejerc poder,dar ejemplo,pue mire,cazali entesa,deprisa corriendo,presid montilla,saura senador,objeto proyecto,determinada materia,marzo 2016,29 noviembr,procedimiento ordinario,senadora abad,profesional sanitario,senador crisol,civil franquismo,derecho ciudadano
7,miembro mesa,cuota pantalla,permiso investigacion,ejerc presidencia,reglamento nado,acuerdo gatt,apartado recog,cort general,pa samo,acuer do,falta capacidad,emitir inform,deseen intervenir,to toda,in salud,parla mentario,proyecto debatiendo,tratamiento fiscal,sepa rada,senador herrero,da mo,ejercicio 2016,provincia guadalajara,defensa senador,vaya terminando,senador viñe,portavoz parlamenta,sena dor,benevolencia presidencia,pro yecto,cierto modo,estm amo,pro blema,conv nio,debe haber,semana pasada,mo mento,contrato administracion,quiero agradecerl,texto legal,dic tamen,abril 1999,mercado labor,co nocer,buena tard,or gullo,territori senador,senador muñoz,vaya concluyendo,ciento in,toda comunidad,medio rural,ciento pib,cons jero,pretend suprimir,finan ciera,renta dispon,trabajo asunto,tie nen,tomando medida,fami lia,pre sent,guardia civil,hecho posibl,permiso licencia,ejerc politica,marisc cifuent,ver crisi,pasamo portavoc,clase media,texto congreso,consejo europa,senador manchado,11 febrero,tipo familia,senador bernal,forma part,mocion consecuencia,pieza fundament,senadora freixanet,somet acto,unido podemo
8,permi tiendo,ibiza formentera,permiso lactancia,ejerci cio,ministerio fiscal,alguna manera,pasamo particular,central nuclear,univ sidad,dar soport,pasamo seguidament,senador lafuent,texto dictamen,extraordinario suplemento,febrero 1986,presupuesto general,tribun cuenta,senador dorrego,pido pa,momento determinado,pre sident,senador dorrego,fuent particular,energia aranzadi,particular senador,senador fraga,pasamo debatir,pasa mo,efectiva ment,junta portavoc,gra cia,quiero preguntarl,comuni dad,utili zar,quiero decirl,aquel momento,quier dar,programa elector,proyecto entrada,45 46,quiero agradec,parec important,senador barquero,popu lar,finalizado debat,varela serra,momento oportuno,vaya terminando,pre sentada,ba tant,septiembr 2004,trabajo realizado,do cumento,cabe duda,prin cipio,mejo rar,mini tro,dere cho,nota prensa,sistema financiero,mercado trabajo,millo ne,unaenmienda transaccion,mismo tiempo,permiso maternidad,ejercen derecho,diciendo verdad,mile mile,senadora chivit,doy defendida,senador arrufat,parec absolutament,entesa senador,doy reproducida,acoso escolar,diciembr 2016,toda fuerza,agricultura pesca,seguir trabajando,presupuesto 2019,puesto trabajo,senador cazali
9,permi tir,ministerio hacienda,permiso licencia,ejerc presion,mal parec,fuerza armada,dejado solo,junio 1982,33 34,senador precedido,abril 1984,servicio militar,sentencia tribun,siem pre,pa samo,gru po,38 39,mu senador,solici taba,tribun constitucion,tal dicho,malo trato,mo separada,anexo 11,asentimiento asentimiento,24 septiembr,senador alierta,dar respuesta,nue tra,texto dictamen,defendida propio,pri vado,qued claro,delito violento,rico pobr,amplio acuerdo,pro ducen,octubr 1997,tan to,senador soravilla,defensa competencia,noviembr de1999,quiero agradec,mo mento,senador espasa,toda seri,efectiva ment,plan integr,grado consenso,haber hecho,ma nera,llegado acuerdo,progra ma,compromiso asumido,guardia civil,texto refundido,doy formulada,compromiso adquirido,subida tarifa,toda administracion,septiembr 2008,objetivo prioritario,25 000,alta velocidad,permiso paternidad,ejerc potestad,empleo objetivo,buena tard,defensa senador,ahorro eficiencia,senador anasagasti,presupuesto 2015,puedan producir,quiero aprovechar,podemo aceptar,siglo xxi,sido objeto,independencia territorio,grave crisi,senador cazali,pedimo respeto,senadora julio
