,Año: 1979 - neg,Año: 1979 - pos,Año: 1980 - neg,Año: 1980 - pos,Año: 1981 - neg,Año: 1981 - pos,Año: 1982 - neg,Año: 1982 - pos,Año: 1983 - neg,Año: 1983 - pos,Año: 1984 - neg,Año: 1984 - pos,Año: 1985 - neg,Año: 1985 - pos,Año: 1986 - neg,Año: 1986 - pos,Año: 1987 - neg,Año: 1987 - pos,Año: 1988 - neg,Año: 1988 - pos,Año: 1989 - neg,Año: 1989 - pos,Año: 1990 - neg,Año: 1990 - pos,Año: 1991 - neg,Año: 1991 - pos,Año: 1992 - neg,Año: 1992 - pos,Año: 1993 - neg,Año: 1993 - pos,Año: 1994 - neg,Año: 1994 - pos,Año: 1995 - neg,Año: 1995 - pos,Año: 1996 - neg,Año: 1996 - pos,Año: 1997 - neg,Año: 1997 - pos,Año: 1998 - neg,Año: 1998 - pos,Año: 1999 - neg,Año: 1999 - pos,Año: 2000 - neg,Año: 2000 - pos,Año: 2001 - neg,Año: 2001 - pos,Año: 2002 - neg,Año: 2002 - pos,Año: 2003 - neg,Año: 2003 - pos,Año: 2004 - neg,Año: 2004 - pos,Año: 2005 - neg,Año: 2005 - pos,Año: 2006 - neg,Año: 2006 - pos,Año: 2007 - neg,Año: 2007 - pos,Año: 2008 - neg,Año: 2008 - pos,Año: 2009 - neg,Año: 2009 - pos,Año: 2010 - neg,Año: 2010 - pos,Año: 2011 - neg,Año: 2011 - pos,Año: 2012 - neg,Año: 2012 - pos,Año: 2013 - neg,Año: 2013 - pos,Año: 2014 - neg,Año: 2014 - pos,Año: 2015 - neg,Año: 2015 - pos,Año: 2016 - neg,Año: 2016 - pos,Año: 2017 - neg,Año: 2017 - pos,Año: 2018 - neg,Año: 2018 - pos,Año: 2019 - neg,Año: 2019 - pos
0,excus asistent,qued clar,mutual general,ejempl niñ,presi dent,ejempl oficin,presi dent,ejempl oficin,abso lut,sig siend,particul numer,opon enmiend,obras public,discut cam,ciñ cuestion,articul cincuent,pid permis,mo ment,const acta,dictam comision,polit regional,ejempl palpabl,portavoz centr,dictam comision,correspondient enmiend,nombr gru,pas portavoc,señ ria,pas portavoc,sen dor,parlament europe,po der,popul present,delit violent,agradec ton,mixt senador,senador areval,senador begu,rest europ,tant vec,quier record,administr cion,tiemp minut,previst ministeri,rueg conclu,gust sab,escañ popul,senador navarr,gra cias,senador araneg,dent ministr,dent buen,do cument,acuerd alcanz,tom decision,qui sier,rio popul,estrategi lisbo,crisis econom,administr public,escañ popul,nuev regul,doy formul,catalan sen,06 deud,ejempl nivel,vay finaliz,pas atras,vay finaliz,cre agenci,rechaz enmiend,herenci recib,rechaz enmiend,grup oposicion,compañer senador,diciembr 2016,plaz present,territori peninsul,entrad cam,segur public,jur aplaus,sen senador
1,sid objet,ibiz formenter,proposicion present,ejempl norm,obras public,ejempl niñ,pid pal,ejempl ocasion,castill leon,senador bles,portavoc des,dic dic,pa sam,activ financier,transport turism,eduard baselg,present capitul,gru po,agu jurisdiccional,enmiend senador,entonc retir,ejempl paradigmat,paus centr,conclu debat,pas portavoc,28 36,acuerd nuev,senador bues,sen 30,ne senador,gra cias,quier agradec,castill leon,fer nandez,pod olvid,senador roman,medi rural,plan nacional,mu chas,ambient transport,plaz present,popul senador,re chaz,senador arrib,tiemp minut,tal plant,correspond ahor,agra dezc,mu chas,pro blem,aplaus escañ,tribunal constitucional,impor tant,habl cas,mejor tecnic,50000 habit,algun maner,delgrup catalan,corpor local,numer 12,doy formul,alta veloc,popul consider,unic europe,pas histori,ejempl niñ,puebl navarr,sub impuest,senador interpel,ust cre,nombr popul,television public,vay finaliz,portavoc mixt,lleg acuerd,mixt senador,acuerd acuerd,administr local,marian rajoy,senador bag,algun senador,senador cazalis
2,may 1979,reform sanitari,españ line,ejempl nuev,mu chas,ejempl period,criteri ponder,ejempl organ,senador ramis,acu do,pas seguid,cincuent años,seguid proced,sid asi,adel tiemp,disposicion adicional,alu sion,seccion 15,aspect polit,dan rechaz,vot apart,ejempl parec,particul centr,trabaj segur,portavoz senador,mocion numer,correspondient enmiend,inclu particul,efect ment,present dictam,popul sen,eu rop,proteccion medi,form inmediat,puest march,inici priv,mejor gestion,model financi,gobi anterior,vay conclu,quier agradec,ningun tip,rueg vay,present proyect,senador gatzagaetxebarr,mejor acuerd,rueg conclu,aproxim ment,correspond ahor,territorial popul,estatut autonom,agradec grup,puest trabaj,hac años,señ rias,entes territorial,nues tra,nuev cultur,popul sen,qued clar,sub impuest,lleg acuerd,popul present,inter nacional,pas hor,ejempl norm,nombr popul,recort derech,cierr debat,doy formul,senador interpel,nombr haciend,numer firm,doy reproduc,buen dias,contest interpel,sen españ,expon interpel,ministr aplaus,tan import,mar teres,senador juli
3,trat extradicion,asunt exterior,ciud zaragoz,ejempl num,olvid do,consej fiscal,centr democrat,ejempl parec,pa sam,islas balear,pi suny,articul 192,des interven,pri mer,supuest quier,gra senador,pre sident,cias senador,tan grav,portavoc paus,sid equivoc,ejempl parlament,ped separ,brev plaz,pas debat,enmiend senador,vay finaliz,señ rias,aplaus banc,senador interpel,rueg vay,conjunt enmiend,algun dese,pus march,escañ popul,inversion public,ministeri trabaj,debat mocion,nombr popul,termin expres,puest march,formul termin,rueg conclu,van consegu,rueg vay,senador carraca,senador sabat,unas palabr,rechaz enmiend,co mision,lamentari popul,ref renci,popul apoy,servici public,demand socied,buen trabaj,minis tro,sig viv,doy formul,avanz europ,enmi da,millonesd eur,lar sen,hac quinc,pas igual,ejempl nuev,senador interpel,seccion 18,mocion originari,tard ministr,autor mocion,med estrell,cierr debat,enmiend entes,entidad local,senador alegr,mejor mocion,sab com,present ciudadan,interpel senador,doñ mar,ministeri agricultur
4,bosqu hit,cuot pantall,pre sident,ejempl parlament,sid conced,miner energet,olvid supuest,ejempl organiz,articul 695,gan eleccion,mu chas,elabor proyect,aprob text,trabaj segur,articul 87,gru po,clar dich,grup parlamentari,pre sident,tribunal constitucional,mos retir,merc valor,particul senador,po pul,rueg vay,senador barbuzan,senador aguil,enmiend popul,dam defend,parlam tari,hab sid,posi blement,ter min,cre pod,consej ministr,nu mer,gobi anterior,enmiend numer,quier agradec,senador soravill,deb dec,pas mos,grup parlamentari,negoci cion,puest march,termin dic,cienci tecnolog,provinci lug,rueg conclu,uni senador,creacion emple,do camp,ello pid,cualqui cas,quier agradec,cab dud,presupuest general,investig desarroll,presu puest,inter nacional,present mocion,aplaus escañ,popul sen,ministr aprob,pas im,ejempl parec,parec mal,consider necesari,nombr popul,vay termin,vay finaliz,derech decid,ministeri interior,baj salari,present plen,atencion sanitari,rest españ,senador iparragirr,cre sid,popul ciudadan,jos antoni,grup parlamentari
5,aragon cataluñ,educ fisic,consej europ,ejempl numer,permit defens,da igual,direccion general,ejempl paradigmat,piens adopt,enmi da,defens enmiend,proposicion popul,educ cienci,modif cion,febrer 1986,senador dorreg,cos dich,plan fond,presi dent,democraci cristian,hac cas,izquierd unid,portavoz senador,enmiend centr,bra obras,defend senador,portavoz popul,mocion numer,benevolent president,solicit senador,deb dej,hech tribun,qued clar,part cre,agricultur pesc,senador rios,jos mar,particul numer,honor present,rueg vay,entrad sen,pon manifiest,rechaz enmiend,ar gument,sector aceit,senador aurrekoetxe,popul sen,pregunt hech,buen dias,15 cient,us ted,fuerz armad,dent ministr,cuant enmiend,der cho,desarroll sosten,grup cam,desarroll sosten,pre sent,impuest especial,deficit public,inversion public,tom med,puest march,pas imagin,ejempl num,mocion originari,just contrari,num exp,herenci recib,rechaz numer,ari cañet,iglesi vasc,portavoz popul,puest trabaj,vasc senador,lament acept,enmiend senador,pag factur,senador river,present enmiend,mar mar
6,intervien nuev,ministeri asunt,ministeri obras,ejempl oblig,reglament nad,caj ahorr,retir vot,ejempl palpabl,segun articul,text proyect,llam atencion,transaccional articul,mos proced,form part,encontr solucion,gra cias,ciud guadalaj,1987 num,num 100,grup parlamentari,pre sident,unid inici,vay finaliz,dud algun,vot particular,nombr mixt,portavoz parlament,cualqui cas,pre sident,form part,in terpel,dent dad,abrim portavoc,miend present,gobi anterior,tie nen,respect enmiend,nacional vas,entrad sen,re ferenci,ex puest,an tes,rabaj asunt,defend enmiend,buen tard,agradezc ton,gra cias,20 años,finaliz debat,llev años,buen volunt,popul fij,nacional vasc,compromis asum,termin pre,mej rar,formul termin,millonesd eur,ten mos,interes electoral,rio popul,import cia,puest trabaj,da respuest,pas impor,ejempl objet,rechaz numer,verdader intencion,pas portavoc,segreg sex,cierr debat,acept enmiend,nombr popul,clas medi,pod judicial,senador bag,plan integral,hac necesari,defend unid,vasc senador,llev años,derech ciudadan
7,fernan dez,public to,pas impuls,ejempl ocasion,extrem deb,pod polit,60 defens,ejempl pag,pas seguid,sen 15,abril 1984,pod acept,defend enmiend,grup parlamentari,mate oter,parl mentari,doy defend,junt electoral,quis separ,impact ambiental,re cuerd,senador fuent,permis defend,senador sal,senador ardanuy,entram debat,senador aceb,comerci turism,larg plaz,pas mos,termin pre,pre solicit,mocion present,portavoz popul,podr hab,vasc senador,derech fundamental,ter min,jos mar,pon march,somet consider,hech insul,articul 87,so cialist,re chaz,suspend tard,senador froilan,algun tip,finaliz portavoc,volunt polit,presion fiscal,consej europe,po litic,enmiend popul,nues tra,relaci nes,menor edad,espa ña,tarif electr,articul 87,popul present,comi sion,disposicion final,buen trabaj,pas import,ejempl oblig,merc laboral,iglesi mariscal,cazalis entes,amnist fiscal,pas portavoc,bastant evident,pas portavoc,sid asi,quier agradec,apoy mocion,medi minut,contest interpel,pact educ,senador muñoz,articul reglament,prometonum pag
8,pas hech,pro blem,pas impuest,ejempl ocurr,falt dat,fuerz armad,general produccion,ejempl pa,articul 87,co noc,seguid proced,tod form,turn paus,pong acuerd,bernardez alvarez,diciembr 1986,tribunal cuent,27 octubr,hic mism,inspeccion trabaj,exist problem,cias senador,tiemp finaliz,sistem educ,portavoz centr,defend numer,uni correspondient,pro yect,doy defend,pro yect,cam moment,moment españ,esca ños,apro bad,posi cion,raz nes,agradec ministr,portavoz popul,senador nacionalistasvasc,exper tos,popu lar,conten proyect,senador cam,dec principi,cumpli mient,res puest,señ ria,vay termin,nacional vasc,dar apoy,nuev plan,senador caned,ahor dic,plaz present,au tonom,dud algun,rest españ,nacion unid,mocion present,igual dad,pre gunt,nivel europe,parlamentarioentes catalan,pro yect,pas importantisim,ejempl ocasion,rechaz enmiend,ciudadan ciudadan,segu trabaj,permitam dig,cort general,cataluny numer,cazalis entes,cataluny senador,aplaus senador,sanid universal,tod razon,mixt senador,polit migratori,contest interpel,banc españ,ministr polit
9,pas histori,construccion naval,pas imprescind,ejempl oficin,cre recor,credit subvencion,general aragon,ejempl pact,interven paus,sen juli,doy defend,nacional vasc,histor artist,senador pi,evarist amat,present popul,regres cas,ampliacion capital,ped conced,agrup senador,cuot integr,senador lar,vot particular,defend enmiend,fuent navarr,nombr popul,general fech,pregun ta,castr rabadan,sident senador,numer 354,senador doñ,television local,car men,pas legislatur,senador utrer,mant ner,senador ains,administr justici,deb hab,jos mar,aprob asent,defens senador,propi termin,defens senador,varel serr,agricultur pesc,preci merc,vet numer,menor dud,tan sol,merc interior,pro xim,rest grup,na cional,sen dor,qu ocurr,vot particular,program electoral,lin actuacion,cuan do,portavoz popul,financi local,agradec senador,pas imprescind,ejempl ocurr,recurs public,senador fidalg,senador capell,dar cuent,senador anasagasti,fuert rumor,num exp,text refund,mar jos,defens enmiend,termin pid,cre buen,aplausos vari,treint años,num 98,nombr ministr
10,pas impor,ten cuent,06 deud,ejempl oper,facili tad,articul 19,particul senador,ejempl oper,situacion econom,enmiend present,señ rias,quis record,febrer 1985,legisl hac,portavoc grup,cuan do,im puest,tip marginal,solici tab,centr democrat,sen 12,polit monetari,correspondient enmiend,enmiend uni,presi dent,24 septiembr,sen seri,enmiend senador,qu med,articul setent,ade cuad,termin moment,ped separ,quis pregunt,present mocion,tribut ced,ex plicacion,10 cient,pal bras,fa vor,dent senador,rest grup,administr public,re fer,dese interven,respuest escrit,presupuest inicial,consej asesor,rios senador,escañ parlament,mocion debat,tod cam,pro blem,xunt galici,enmiend trat,esfuerz realiz,ofert public,ciudadan ciudadan,servici sanitari,hoj rut,min rio,cambi normat,pod lleg,pus march,pas impuest,ejempl oficin,16 000,ademas cre,senador chivit,pon encim,iglesi vasc,person viv,autor mocion,despues hab,pod acept,senador dominguez,compromis popul,senador castill,profesional sanitari,senador navarret,tod ideolog,senador azam
11,pas hor,institut nacional,pas importantisim,ejempl organ,expli cacion,relacion laboral,miend numer,central nucl,obras public,grup cam,proced seguid,cualqui cas,cuartel guardi,sid expuest,dentr propi,presupuest general,da defend,mu chas,sep rad,seccion 19,ministeri asunt,transport terrestr,particul uni,formul senador,pas defens,public trans,senador renobal,gra replic,senador aspuru,replic senador,algun form,entrad cam,situacion actual,mom tos,cab dud,solucion problem,expres satisfaccion,octubr 1997,quier dar,im puest,veint años,cias senador,dej clar,ur genci,plen 12,pued ten,excelentisim doñ,uso senador,in version,senador popul,minis tro,gres diput,senador albistur,luch tra,escañ popul,public boletin,pre sent,cab dud,plen 25,acat constitu,seman pas,solucion problem,minis tro,quier pregunt,pas impuls,ejempl oper,debat nombr,grand empres,ampar articul,doy defend,ningun moment,clas medi,senador interpel,deneg hac,ejercici respons,senador ahed,mir futur,vasc senador,españ polit,nacional senador,regener democrat,senador iñarritu
