,Legislatura: I - neg,Legislatura: I - pos,Legislatura: II - neg,Legislatura: II - pos,Legislatura: III - neg,Legislatura: III - pos,Legislatura: IV - neg,Legislatura: IV - pos,Legislatura: V - neg,Legislatura: V - pos,Legislatura: VI - neg,Legislatura: VI - pos,Legislatura: VII - neg,Legislatura: VII - pos,Legislatura: VIII - neg,Legislatura: VIII - pos,Legislatura: IX - neg,Legislatura: IX - pos,Legislatura: X - neg,Legislatura: X - pos,Legislatura: XI - neg,Legislatura: XI - pos,Legislatura: XII - neg,Legislatura: XII - pos,Legislatura: XIII - neg,Legislatura: XIII - pos
0,excusado asistencia,altura debat,pa samo,mantenemo texto,agua jurisdiccional,entra mo,vaya finalizando,defend senador,proyecto sido,aten der,diverso ministerio,cara futuro,correspond ahora,prometoel prestado,18 hora,capit humano,doy formulada,senador senadora,vaya finalizando,europea momento,diputacion provincial,sanidad univers,aceptar ninguna,senadora villanueva,juro aplauso,ejerc mujer
1,brevement contestar,caja ahorro,pasamo seguidament,objeto texto,const acta,sident simplement,pedimo separada,mismo particular,grave problema,exp dient,honor presentar,terminado debat,vaya concluyendo,uso senador,85 ciento,cabe honor,reforma estructural,agradec apoyo,cierra debat,podemo esperar,marzo 2016,senador guardingo,disposicion adicional,senadora serrano,ruth goñi,ejerc papel
2,sido objeto,mayor part,directa ment,proyecto senador,creemo necesario,noso tro,uso portavoz,senador van,abrimo portavoc,ciento mujer,conscient gran,da mo,gra cia,mejor posibl,portavoz entesa,remitido congreso,grave crisi,mujer hombr,senador interpelant,trabajador trabajadora,mariano rajoy,senador marco,senda crecimiento,senador crisol,toda comunidad,ejerc poder
3,resulta do,vuelvo repetir,ministerio obra,intentar explicar,pido permiso,tratamiento fiscal,mujer hombr,contenida particular,necesaria ment,isabel vilallonga,portavoz socia,senador bri,tiempo minuto,medida concreta,solidaridad interterritori,qui siera,25 noviembr,inform impacto,vicepresident da,oportunidad perdida,plan trabajo,dicho vece,pleno senador,mocion consecuencia,civil franquismo,ejerc politica
4,13 mayo,nue vo,mo proced,cualquier forma,satisfac deuda,senador valverd,correspondient enmien,senador piden,efectiva ment,hecho tribuna,respecto senador,senador beguer,arroyo hodgson,intervengo brevedad,portavoz so,tener encuenta,sector productivo,paliar efecto,originaria manifestar,nadi cree,15 marzo,ir terminando,aplausos rumor,senadora etxano,mesa edad,ejerc potestad
5,internacion canfranc,puesto trabajo,agrupada presi,dar respuesta,dieron defendida,fi cale,particular conver,incluida particular,largo plazo,in trumento,breve creo,defensa senador,finalizado debat,toda seguridad,septiembr 2006,funda mentalment,termino pre,pre tend,congreso modificado,hace impos,senadora podemo,medio rural,terrorista eta,cara futuro,buena tard,ejerc presidencia
6,re peto,buena part,seguidament procedemo,creo dicho,doy defendida,pueden tener,siempr van,pregun ta,senador aleu,termino momento,proyecto entrada,apro bado,momento oportuno,pre sentamo,renta dispon,cumplida respuesta,subida impuesto,14 000,senadora interpelant,damo defendida,acoso escolar,corporacion local,factura luz,senador guardingo,isla gran,ejerc presion
7,soli citado,consejo superior,mini tro,cuanto portavoz,termino claro,tiempo minuto,amba inclus,gra cia,meno cierto,hecho senador,trabajo ponencia,ninguna comunidad,re chazada,daba defendida,hace momento,proteg derecho,pro pio,encima media,debo decirl,papel mojado,puesto marcha,derecho humano,remitido congreso,senadora castilla,libro texto,ejerc labor
8,retira do,mo mento,portavoc deseen,dictamen senador,pro vocado,cien cia,portavoz senador,sena do,senador ferrer,david marca,transaccio nal,gener debat,puesto presidencia,medio necesario,541997 27,senador urrutia,30 junio,prometoel prestado,originaria indicar,senador ibarrondo,podemo aceptar,senadora julio,acuerdo consejo,trabajador pobr,junta preparatoria,ejerc profesion
9,miembro mesa,asunto exterior,doy defendida,ñanza privada,procedimiento correcto,so cial,perdo ne,texto dictamen,haber sido,senador aceb,director infraestructura,loyola palacio,portavoc nombr,medio transport,constancia diario,apuesta decidida,escaño popu,quiero ratificar,cazali entesa,ciudadano sino,entidad local,persona refugiada,dicho portavoz,senador cazali,quier hablar,ejerc recho
