semana,neg-1,neg-2,neg-3,neg-4,neg-5,neg-6,neg-7,neg-8,neg-9,neg-10,neg-11,neg-12,neg-13,neg-14,neg-15,neg-16,neg-17,neg-18,neg-19,neg-20,pos-1,pos-2,pos-3,pos-4,pos-5,pos-6,pos-7,pos-8,pos-9,pos-10,pos-11,pos-12,pos-13,pos-14,pos-15,pos-16,pos-17,pos-18,pos-19,pos-20
2011-50,000 pyme,permiso conducir,permiso continuar,permiso intervendre,permiso intervengo,permiso investigacion,permiso lactancia,permiso licencia,permiso maternidad,permiso paternidad,permiso pre,permiso presi,permiso presidencia,permiso quiero,permiso residencia,permiso senador,permiso trabajo,permit actuar,permiso conduccion,permiso circulacion,ejerc jurisdiccion,ejerc labor,ejerc libertad,ejerc librement,ejerc mujer,ejerc papel,ejerc poder,ejerc politica,ejercen derecho,ejerc potestad,ejerc presion,ejerc profesion,ejerc propia,ejerc recho,ejerc responsabilidad,ejerc soberania,ejerc toda,ejercen actividad,ejerc presidencia,ñoria senador
2012-4,manuel fraga,000 pyme,permiso conducir,permiso continuar,permiso intervendre,permiso intervengo,permiso investigacion,permiso lactancia,permiso licencia,permiso maternidad,permiso paternidad,permiso pre,permiso presi,permiso presidencia,permiso quiero,permiso residencia,permiso senador,permiso trabajo,permiso conduccion,permiso circulacion,ejerc labor,ejerc libertad,ejerc librement,ejerc mujer,ejerc papel,ejerc poder,ejerc politica,ejercen derecho,ejerc potestad,ejerc presion,ejerc profesion,ejerc propia,ejerc recho,ejerc responsabilidad,ejerc soberania,ejerc toda,ejercen actividad,ejerc presidencia,ñoria senador,creo buen
2012-6,febrero 2012,recibo luz,sistema financiero,000 pyme,permi tir,permi tira,permiso circulacion,permiso conduccion,permiso conducir,permiso continuar,permiso intervendre,permiso investigacion,permi tiendo,permiso lactancia,permiso licencia,permiso maternidad,permiso paternidad,permiso pre,permiso presi,permiso presidencia,ejerc poder,ejerc politica,ejerc potestad,ejerc presidencia,ejerc soberania,ejerc presion,ñoria senador,ejerc propia,ejerc recho,ejerc profesion,senador alcald,dispuesto colaborar,problema ciudadano,van reducir,presentar cuenta,ninguna obra,pregunto ahora,central nuclear,confianza sino,reforma financiera
2012-8,entesa pel,pequeño mediano,mediano empresario,entidad local,aplauso escaño,permi tira,permiso circulacion,permiso conduccion,permiso conducir,permiso continuar,permiso intervendre,permiso intervengo,permiso lactancia,permiso licencia,permiso maternidad,permiso paternidad,permiso pre,permiso presi,permiso presidencia,permiso quiero,ejerc politica,ejerc soberania,ejerc potestad,ejerc presion,ejerc profesion,ejercicio 2000,ejerc propia,ejerc recho,ejerc responsabilidad,ejerc presidencia,ejercicio 1997,rumor escaño,presupuesto comunidad,criterio objetivo,terrestr playa,museo nacional,condicion legal,entidad financiera,subida impuesto,sistema bicamer
2012-10,madrid baraja,aplauso escaño,permiso conducir,permiso continuar,permiso intervendre,permiso intervengo,permiso investigacion,permiso lactancia,permiso licencia,permiso maternidad,permiso paternidad,permiso pre,permiso presi,permiso presidencia,permiso quiero,permiso residencia,permiso senador,permiso trabajo,permit actuar,permiso conduccion,ejerc labor,ejerc libertad,ejerc librement,ejerc recho,ejerc mujer,ejerc poder,ejerc politica,ejerc potestad,ejerc presidencia,ejerc presion,ejerc profesion,ejerc papel,important provincia,nuevo modelo,sector important,medida adoptar,provincia huelva,volver recordar,contencioso administrativo,reforma labor
2012-11,000 pyme,permiso conducir,permiso continuar,permiso intervendre,permiso intervengo,permiso investigacion,permiso lactancia,permiso licencia,permiso maternidad,permiso paternidad,permiso pre,permiso presi,permiso presidencia,permiso quiero,permiso residencia,permiso senador,permiso trabajo,permit actuar,permiso conduccion,permiso circulacion,ejerc labor,ejerc libertad,ejerc librement,ejerc mujer,ejerc papel,ejerc poder,ejerc politica,ejerc potestad,ejerc presidencia,ejerc profesion,ejerc propia,ejerc recho,ejerc responsabilidad,ejerc soberania,ejerc toda,ejercen actividad,ejercen competencia,ejerc presion,ñoria senador,aplauso escaño
2012-13,pueden hablar,derecho humano,especial empleo,pago proveedor,000 pyme,permiso intervengo,permiso investigacion,permiso lactancia,permiso licencia,permiso maternidad,permiso paternidad,permiso pre,permiso presi,permiso presidencia,permiso quiero,permiso residencia,permiso senador,permiso trabajo,permit actuar,permit adema,prima riesgo,tratado internacion,parlamento gallego,materi defensa,sector privado,comercio arma,zona franca,carga trabajo,cuidado hijo,creo justo,creemo important,momento reforma,reforma labor,buena part,extrema derecha,asociacion profesional,pasada legislatura,luego hablan,grand empresa,buena tard
2012-15,padr madr,incendio forestal,medio transport,embarazo deseado,desarrollo personalidad,senador interpelant,permiso conducir,permiso continuar,permiso intervendre,permiso intervengo,permiso investigacion,permiso lactancia,permiso licencia,000 pyme,permiso paternidad,permiso pre,permiso presi,permiso presidencia,permiso quiero,permiso residencia,ejerc poder,ejercen actividad,ejerc potestad,ejerc presidencia,ejerc politica,ejerc profesion,ejerc propia,ejerc recho,ejerc responsabilidad,ejerc soberania,ejerc presion,ñoria senador,recibo luz,dispuesto renunciar,programa elector,aplauso escaño,crisi deuda,tener cuenta,medida tomado,buena tard
2012-17,negativa consecuencia,pesca turismo,15 25,aplauso escaño,maestro profesor,25 abril,permiso circulacion,permiso conduccion,permiso conducir,permiso continuar,permiso intervendre,permiso intervengo,permiso investigacion,permiso licencia,permi tira,permiso maternidad,permiso paternidad,permiso pre,permiso presi,permiso presidencia,ejerc presidencia,ejerc presion,ejerc profesion,ejerc propia,ejerc recho,ejerc responsabilidad,ejerc labor,ejerc librement,corredor muert,monetario internacion,pacto fiscal,regla fiscal,recibo luz,texto articulado,tomar medida,protesta escaño,fondo monetario,contrato indefinido,presupuesto general,reforma labor
2012-19,agricultor ganadero,medio ambient,mayo 2012,regla juego,igual igual,organismo supervisor,000 pyme,permiso intervendre,permiso intervengo,permiso investigacion,permiso lactancia,permiso licencia,permiso paternidad,permiso continuar,permiso pre,permiso presi,permiso presidencia,permiso quiero,permiso residencia,permiso senador,ejerc recho,ejerc presion,ejerc profesion,ejerc propia,cualquier senador,febrero 2012,necesaria sector,reforma labor,mediano productor,van tener,recibir tratamiento,ciento cincuenta,pequeño mediano,senador cazali,tan important,aplausos rumor,doy formulada,630 000,nadi acuerda,pensionista jubilado
