,negativos,positivos
0,vaya finalizando,senador liber
1,seguidament procedemo,tar consentimiento
2,juro aplauso,pasa mo
3,finalizar portavoc,contenida particular
4,inclus senador,cervera pinart
5,cierra debat,isabel vilallonga
6,dorrego gon,senadora palacio
7,pi suñer,mismo autor
8,solicito vo,senador herrero
9,plazo efecto,senador aizarna
10,mañana hora,senador arquero
11,particular conver,senador baselga
12,fuent particular,conform dictamen
13,jen basa,mu senador
14,premura tiempo,senador chueca
15,carretera nacional,merelo palomar
16,presid montilla,abajo fir
17,cazali entesa,gra senador
18,rabajo asunto,entra mo
19,tard imprim,eskerrik asko
