,negativos,positivos
0,vicepresident guerr,mare senador
1,seguid proced,inclu particul
2,vay finaliz,enmiend uni
3,jur aplaus,pas mos
4,ello popul,senador baselg
5,particul centr,agrup senador
6,paus centr,mu enmiend
7,finaliz portavoc,tard tod
8,portavoz centr,1982 num
9,correspondient enmiend,electron remot
10,senador carrasc,merel palomar
11,president montill,castellv auv
12,romer caler,198o num
13,fij popul,mu senador
14,iglesi vasc,conten particul
15,solicit dotacion,gra senador
16,proced seguid,eskerrik asko
17,refer exclus,dan rechaz
18,interpel sen,entra mos
19,impugn seccion,transaccional articul
