,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,0.18814432989690721,0.29220023282887075,0.31523642732049034,0.36363636363636365,0.29434202161474887,0.3664185277088503,0.3224151539068666,0.22929936305732485,0.25307491613865074,0.2594611930724824,0.26834381551362685,0.17458677685950413,0.1898504757589488,0.19583462853590303,0.15218855218855218,0.17211182216234422,0.21990872789503707,0.12005649717514125,0.14000562271577172,0.1317451205510907,0.1173512154233026,0.06730310262529833,0.07183257918552036,0.0844005878647911,0.08555171713066449,0.04778887303851641,0.060338201383551116,0.07971586424625099,0.10135644310474755,0.07622868605817452,0.10410233789148654,0.10038944180008655,0.5714285714285714,0.1471698113207547,0.12303931554288042,0.12826438641090826,0.1455306574735287,0.3325423728813559,0.0915590405904059,0.09672417135103702,0.39280042350449973
2,0.05670103092783505,0.05587892898719441,0.050788091068301226,0.07352941176470588,0.17164653528289892,0.13206506754893851,0.17561168113654302,0.27504342790966996,0.34737234439060755,0.3287363694676074,0.32966457023060797,0.3298898071625344,0.3321250566379701,0.38918246813801677,0.33131313131313134,0.2401481980464803,0.21620079863091843,0.23728813559322035,0.26398650548214786,0.24024110218140068,0.19404861693210393,0.3241050119331742,0.2604638009049774,0.2693680453495696,0.30867709815078237,0.19900142653352354,0.1813989239046887,0.2091554853985793,0.17709118311981914,0.15045135406218657,0.16056462284958095,0.1665945478147988,0.14285714285714285,0.08278301886792452,0.08677938480342229,0.09244280101687082,0.09529672494459493,0.06677966101694915,0.06780442804428044,0.06764876914130645,0.06352567496029646
3,0.010309278350515464,0.010477299185098952,0.008756567425569177,0.0053475935828877,0.003814367450731087,0.009098428453267164,0.009471191791633781,0.004632310364794441,0.011181513231457324,0.004490057729313663,0.006813417190775681,0.005853994490358127,0.004984141368373357,0.006838669567920423,0.0026936026936026937,0.013135735938026272,0.011123787792355962,0.004708097928436911,0.0033736294630306437,0.0020091848450057405,0.0020955574182732607,0.0009546539379474941,0.0008484162895927602,0.0023094688221709007,0.001219264377159114,0.0007132667617689016,0.0023059185242121443,0.003551696921862668,0.0037678975131876413,,0.00176444640494045,0.0021635655560363477,,0.0023584905660377358,0.002037074760643716,0.0009244280101687081,0.0019699581383895593,0.0013559322033898306,0.0023062730627306273,0.0025198681915099825,0.0031762837480148226
4,0.3904639175257732,0.2991850989522701,0.3309982486865149,0.26871657754010697,0.14685314685314685,0.08491866556382685,0.08958168902920284,0.11117544875506659,0.11777860603801714,0.12219371391917896,0.14360587002096437,0.162534435261708,0.145899410965111,0.11470313957102891,0.1723905723905724,0.23038059952846077,0.2509982886480319,0.2071563088512241,0.1810514478493112,0.1859931113662457,0.2606873428331936,0.2539379474940334,0.27997737556561086,0.25614108754986353,0.23999187157081894,0.35235378031383735,0.33089930822444275,0.31767955801104975,0.20346646571213264,0.17352056168505517,0.13365681517423908,0.13500649069666812,,0.020283018867924527,0.016500305561214096,0.016870811185578923,0.014528441270623,0.011186440677966102,0.013837638376383764,0.017251405311106804,0.006352567496029645
6,0.08118556701030928,0.047729918509895226,0.03327495621716287,0.03074866310160428,0.03305785123966942,0.05900192996967191,0.05090765588003157,0.046902142443543716,0.03689899366380917,0.03399615137908916,0.027777777777777776,0.029958677685950414,0.03715450838241957,0.027976375505129002,0.05117845117845118,0.050185247558100374,0.04592127780946948,0.185969868173258,0.1984818667416362,0.24425947187141217,0.250628667225482,0.1957040572792363,0.2208710407239819,0.21142137308419062,0.22698638488112172,0.26961483594864477,0.30015372790161415,0.26400947119179163,0.33308214016578747,0.40220661985957873,0.41155712395235994,0.39593249675465164,0.047619047619047616,0.5146226415094339,0.547158280708902,0.5211462907326092,0.48854961832061067,0.35084745762711866,0.5152214022140221,0.4855592169025005,0.2482795129698253
7,0.003865979381443299,0.004656577415599534,,0.00267379679144385,0.004450095359186269,0.007719878687620623,0.006314127861089187,0.008685581933989578,0.004845322400298174,0.005772931366260423,0.006289308176100629,0.008264462809917356,0.008155867693701857,0.004041032017407522,0.0047138047138047135,0.006399461098012799,0.01426126640045636,0.014595103578154425,0.006184987348889514,0.006314580941446613,0.007124895222129086,0.005727923627684964,0.012726244343891403,0.009447826999790049,0.003861003861003861,0.0014265335235378032,0.004996156802459646,0.007103393843725336,0.019593067068575734,0.011033099297893681,0.0061755624172915745,0.006923409779316313,,0.0018867924528301887,0.005296394377673661,0.0030043910330483014,0.002954937207584339,0.012203389830508475,0.010839483394833949,0.013180849001744524,0.006352567496029645
9,0.027061855670103094,0.018626309662398137,0.021015761821366025,0.0213903743315508,0.018436109345200253,0.008822718500137855,0.011838989739542225,0.011001737116386797,0.007827059262020127,0.014432328415651058,0.005241090146750524,0.012741046831955923,0.012686905301314002,0.007460366801367734,0.01616161616161616,0.013472549680026945,0.009982886480319452,0.010357815442561206,0.007871802080404836,0.0054535017221584384,0.008382229673093043,0.010978520286396181,0.007918552036199095,0.010497585555322276,0.004877057508636456,0.004992867332382311,0.006917755572636433,0.007892659826361484,0.006028636021100226,0.01805416248746239,0.010145566828407587,0.009086975335352661,,0.008018867924528302,0.009574251375025463,0.004622140050843541,0.006402363949766067,0.010169491525423728,0.01014760147601476,0.008334948633456097,0.0031762837480148226
12,0.04252577319587629,0.05238649592549476,0.04553415061295972,0.03342245989304813,0.05530832803560076,0.02315963606286187,0.03946329913180742,0.056745801968731906,0.02609019754006709,0.03784477228992944,0.012054507337526206,0.046831955922865015,0.023108291798821932,0.025800435188063412,0.06936026936026936,0.03334456045806669,0.011123787792355962,0.023069679849340868,0.014619061006466124,0.0134902411021814,0.010896898575020955,0.00954653937947494,0.008201357466063349,0.010077682133109386,0.00609632188579557,0.009272467902995721,0.009992313604919293,0.012628255722178374,0.007912584777694047,0.010030090270812437,0.023820026466696075,0.01038511466897447,,0.012971698113207548,0.004685271949480546,0.004391033048301364,0.005663629647869982,0.001016949152542373,0.007380073800738007,0.0067842605156037995,0.004235044997353097
13,0.02190721649484536,0.017462165308498253,0.005253940455341506,0.00267379679144385,0.007628734901462174,0.010476978218913703,0.009471191791633781,0.009843659525188187,0.004099888184867686,0.005131494547787043,0.007861635220125786,0.005165289256198347,0.01042138649750793,0.006216972334473112,0.006734006734006734,0.010778039744021556,0.010838562464346835,0.007062146892655367,0.003935901040202418,0.004879448909299655,0.006286672254819782,0.002386634844868735,0.003393665158371041,0.005038841066554693,0.006502743344848608,0.007132667617689016,0.006149116064565719,0.005130228887134964,0.013187641296156745,0.004012036108324975,0.004852227613586237,0.014279532669839896,,0.004481132075471698,0.006926054186188633,0.009937601109313613,0.010096035459246491,0.0047457627118644066,0.01614391143911439,0.015894553207986044,0.01111699311805188
15,0.04768041237113402,0.034924330616996506,0.03677758318739054,0.0481283422459893,0.02225047679593134,0.017369727047146403,0.022888713496448304,0.013896931094383324,0.014163250093179277,0.028864656831302116,0.03773584905660377,0.011019283746556474,0.0158586316266425,0.020826857320484924,0.017508417508417508,0.04715392388009431,0.03907586993725043,0.008945386064030132,0.018554962046668542,0.01750861079219288,0.014668901927912825,0.00477326968973747,0.009332579185520362,0.008608020155364266,0.012802275960170697,0.024251069900142655,0.0207532667179093,0.012628255722178374,0.016955538809344386,0.014042126379137413,0.009704455227172474,0.012981393336218087,,0.019339622641509433,0.022611529843145243,0.025883984284723827,0.03964540753508988,0.015932203389830507,0.03690036900369004,0.04380693932932739,0.01641079936474325
